pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,stellar_luminosity,hz_position,in_habitable_zone,esi_radius,esi_mass,esi_temperature,esi_surface,escape_velocity_ratio,stellar_flux,habitability_score,ml_target,is_habitable_optimized,is_habitable_relaxed,habitability_class_ml,pl_name,hostname
2.239,,0.22362,5936.0,1.152,,1.6409059009478812,0.1504910996078629,False,0.6174745291756716,,,,,40.3,0.2,0,0,1,Limited,Kepler-430 b,Kepler-430
2.34,,0.11061,5854.0,1.097,,1.382684825107557,0.0810914012129654,False,0.5988023952095809,,,,,200.8,0.2,0,0,1,Limited,Kepler-100 c,Kepler-100
2.909,,0.11147,5440.0,0.902,,0.6969841169472837,0.1151035110253413,False,0.5116398055768738,,,,,40.2,0.2,0,0,0,Limited,Kepler-1001 b,Kepler-1001
1.536,,0.21747,5854.0,1.097,,1.382684825107557,0.1594335685903949,False,0.7886435331230284,,,,,51.9,0.2,0,0,1,Moderate,Kepler-100 d,Kepler-100
11.496,,0.04024,5535.0,0.839,,0.5409621293419259,0.0471646429845877,False,0.1600512163892445,,,,,409.8,0.2,0,0,0,Limited,Kepler-426 b,Kepler-426
10.019,,0.04398,5482.0,1.033,,1.1203433104013905,0.0358196776442015,False,0.1815046737453489,,,,,451.3,0.2,0,0,0,Limited,Kepler-424 b,Kepler-424
12.847,,0.08059,5891.0,1.119,,1.4821948599158978,0.0570650911263411,False,0.1444356178233552,,,,,260.5,0.2,0,0,0,Limited,Kepler-422 b,Kepler-422
4.583,,1.42608,5224.0,0.777,,0.4134981451951946,1.9118293171230345,False,0.3582303421099767,,,,,0.2,0.2260185083151716,0,0,1,Limited,Kepler-421 b,Kepler-421
5.63,,0.5326,6421.0,1.397,,3.22245915549247,0.255769916782155,False,0.301659125188537,,,,,17.2,0.1699999999999999,0,0,0,Limited,Kepler-1000 b,Kepler-1000
2.56,,0.08633,5235.0,0.916,,0.7355871905010872,0.0867734116346354,False,0.5617977528089888,,,,,63.2,0.2,0,0,0,Limited,Kepler-48 c,Kepler-48
1.98,,0.23302,5235.0,0.916,,0.7355871905010872,0.2342168467404466,False,0.6711409395973155,,,,,8.7,0.2,0,0,1,Moderate,Kepler-48 d,Kepler-48
2.944,,0.06024,6231.0,1.204,,1.9151055030723187,0.03752585722347,False,0.5070993914807302,,,,,741.8,0.1699999999999999,0,0,0,Limited,Kepler-480 b,Kepler-480
2.538,,0.14628,6009.0,1.078,,1.3006656263561756,0.1105717367097259,False,0.5652911249293386,,,,,153.7,0.1699999999999999,0,0,0,Limited,Kepler-520 b,Kepler-520
1.305,,0.03046,5838.0,1.055,,1.2061008088604344,0.0239100291404368,False,0.8676789587852495,,,,,2814.4,0.2,1,1,1,Promising,Kepler-524 c,Kepler-524
2.731,,0.07955,5838.0,1.055,,1.2061008088604344,0.062443953319821,False,0.5360493165371214,,,,,412.7,0.2,0,0,0,Limited,Kepler-524 b,Kepler-524
1.851,,0.06159,5529.0,0.914,,0.7299812162406426,0.0621435948277725,False,0.701508242721852,,,,,142.3,0.2,0,0,1,Moderate,Kepler-523 b,Kepler-523
5.899,,0.25029,6338.0,1.403,,3.2711604640343235,0.1192983905822023,False,0.2898970865342803,,,,,64.5,0.1699999999999999,0,0,0,Limited,Kepler-522 b,Kepler-522
3.559,,0.17116,6563.0,1.355,,2.8959264878188136,0.0867062736277192,False,0.4386926957666155,,,,,151.2,0.1699999999999999,0,0,0,Limited,Kepler-521 b,Kepler-521
1.703,,0.06035,6009.0,1.078,,1.3006656263561756,0.0456180223573418,False,0.7399186089530152,,,,,898.8,0.1699999999999999,0,0,1,Moderate,Kepler-520 c,Kepler-520
8.993,,1.19671,6054.0,1.175,,1.758460159267812,0.7779732499162912,False,0.200140098068648,,,,,2.9,0.4251169820337109,0,0,1,Moderate,KIC 5437945 b,KIC 5437945
2.615,,0.06518,5798.0,1.239,,2.117139974552967,0.0386172710781703,False,0.5532503457814661,,,,,545.8,0.2,0,0,0,Limited,Kepler-526 b,Kepler-526
8.042,,1.55346,6218.0,1.525,,4.379700903601863,0.6399114180447337,False,0.2211900022119,,,,,2.6,0.3123776455947847,0,0,1,Moderate,KIC 9663113 b,KIC 9663113
3.796,,0.09586,5466.0,0.985,,0.9484770060511158,0.0848527715093453,False,0.4170141784820683,,,,,70.5,0.2,0,0,0,Limited,KOI-142 b,KOI-142
4.564,,0.14386,5506.0,1.136,,1.5625148725988112,0.0992133209253978,False,0.3594536304816679,,,,,158.0,0.2,0,0,0,Limited,Kepler-525 b,Kepler-525
2.401,,0.11646,6208.0,1.192,,1.84912765538385,0.0738304217989422,False,0.5880623346074685,,,,,145.3,0.1699999999999999,0,0,1,Limited,Kepler-527 b,Kepler-527
2.214,,0.07996,5802.0,0.94,,0.8052810653384567,0.0768141187402017,False,0.6222775357809582,,,,,135.1,0.2,0,0,1,Limited,Kepler-518 b,Kepler-518
2.363,,0.06011,6128.0,1.203,,1.909544113378436,0.0374993630386403,False,0.5947071067499257,,,,,569.8,0.1699999999999999,0,0,1,Limited,Kepler-535 b,Kepler-535
3.354,,0.06447,6178.0,1.384,,3.118719497733997,0.0314710710378635,False,0.4593477262287552,,,,,1365.9,0.1699999999999999,0,0,0,Limited,Kepler-541 b,Kepler-541
3.036,,0.58822,5842.0,0.909,,0.7160998640505327,0.5992320063251426,False,0.4955401387512388,,,,,4.4,0.3044746354177751,0,0,1,Limited,Kepler-540 b,Kepler-540
8.149,,0.48893,5816.0,0.987,,0.955234576882334,0.4312545392277387,False,0.2186031260247022,,,,,3.6,0.2,0,0,0,Limited,Kepler-539 b,Kepler-539
2.157,,0.35355,5498.0,0.881,,0.6418235959832469,0.3804389835220657,False,0.6335128286347799,,,,,4.9,0.2,0,0,1,Limited,Kepler-538 b,Kepler-538
1.356,,0.04317,5697.0,1.017,,1.060775144986613,0.0361336964478929,False,0.8488964346349746,,,,,454.4,0.2,1,1,1,Promising,Kepler-537 b,Kepler-537
3.195,,0.02835,5485.0,0.908,,0.7133463933745494,0.0289364226443908,False,0.4767580452920144,,,,,844.1,0.2,0,0,0,Limited,Kepler-536 b,Kepler-536
3.333,,0.16704,4790.0,0.764,,0.3897864654255346,0.2306476927618121,False,0.4615739672282483,,,,,8.4,0.19,0,0,0,Limited,Kepler-533 b,Kepler-533
2.291,,0.14219,5724.0,0.979,,0.9284091698531638,0.1272158881671642,False,0.6077180188392586,,,,,65.5,0.2,0,0,1,Limited,Kepler-528 b,Kepler-528
2.428,,0.10151,5120.0,0.834,,0.5297624565035225,0.1202292810005616,False,0.5834305717619603,,,,,33.4,0.19,0,0,1,Limited,Kepler-532 b,Kepler-532
2.702,,0.17446,4935.0,0.792,,0.442117937715022,0.2261876097250152,False,0.5402485143165856,,,,,9.3,0.19,0,0,0,Limited,Kepler-531 b,Kepler-531
3.0,,0.21491,5600.0,0.856,,0.5803074904703275,0.2432033466003425,False,0.5,,,,,14.8,0.2,0,0,0,Limited,Kepler-530 b,Kepler-530
2.133,,0.15932,5347.0,0.912,,0.7244058255001267,0.1613694584158477,False,0.6383657835939993,,,,,19.6,0.2,0,0,1,Limited,Kepler-519 b,Kepler-519
2.727,,0.28682,5563.0,0.847,,0.5592318993035384,0.3306400623444794,False,0.5366246310705662,,,,,10.6,0.2,0,0,1,Limited,Kepler-517 b,Kepler-517
2.82,,0.08926,5676.0,0.936,,0.7933511773609383,0.0863905339000578,False,0.5235602094240838,,,,,178.0,0.2,0,0,0,Limited,Kepler-481 b,Kepler-481
2.901,,0.03445,5456.0,0.932,,0.7815480669187672,0.0335933558501462,False,0.5126890540886953,,,,,550.8,0.2,0,0,0,Limited,Kepler-487 d,Kepler-487
