pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,discoverymethod,disc_year,pl_orbper,pl_orbeccen,st_rad,st_logg,pl_insol
Kepler-1708 b,Kepler-1708,9.96,1462.0106722,1.64,6157.0,1.088,,Transit,2021,737.1131,0.4,1.117,4.37,0.561
KOI-4777.01,KOI-4777,0.51,99.2,0.008,3515.0,0.41,1180.0,Transit,2022,0.412,0.0,0.4,4.77,320.0
HD 137496 b,HD 137496,1.31,4.04,0.02732,5799.0,1.04,2130.0,Transit,2021,1.62116,0.0,1.59,4.05,
K2-101 b,K2-101,2.0,,0.1124,4927.0,0.82,618.0,Transit,2016,14.6762429,,0.76,4.59,
K2-104 b,K2-104,1.79,,0.0242,3712.0,0.51,798.0,Transit,2016,1.9741954,,0.48,4.78,
EPIC 211822797 b,EPIC 211822797,1.92,,0.1195,4057.0,0.62,431.0,Transit,2016,21.1701963,,0.58,4.7,
K2-358 b,K2-358,2.68,,0.0863,5650.0,0.93,888.0,Transit,2021,11.2510285,,0.91,4.49,
K2-357 b,K2-357,3.72,,0.145,5794.0,0.98,735.0,Transit,2021,16.3488637,,1.0,4.43,
K2-356 b,K2-356,2.29,,0.1599,5568.0,0.9,624.0,Transit,2021,21.0267366,,0.86,4.52,
K2-355 b,K2-355,2.25,,0.0632,5790.0,0.96,1066.0,Transit,2021,5.7385647,,0.92,4.49,
K2-122 b,K2-122,1.16,,0.0373,4009.0,0.63,769.0,Transit,2017,2.2193023,,0.59,4.69,
K2-272 b,K2-272,3.13,,0.1007,5397.0,0.86,747.0,Transit,2018,14.4536756,,0.83,4.53,
K2-274 b,K2-274,2.08,,0.0964,5044.0,0.79,655.0,Transit,2018,14.1330314,,0.7,4.64,
K2-184 b,K2-184,1.47,,0.1685,5245.0,0.84,533.0,Transit,2018,16.9780102,,0.75,4.62,
K2-273 b,K2-273,3.05,,0.0729,5161.0,0.89,849.0,Transit,2018,11.7195663,,0.85,4.53,
K2-95 b,K2-95,3.31,,0.0525,3566.0,0.41,474.0,Transit,2016,10.1346454,,0.4,4.85,
K2-146 b,K2-146,2.25,5.6,0.0248,3385.0,0.358,,Transit,2018,2.6698,0.14,0.35,4.906,
K2-280 b,K2-280,7.5,37.1,0.1461,5500.0,1.03,787.0,Transit,2018,19.89526,0.35,1.28,4.21,
K2-146 c,K2-146,2.59,7.1,0.0327,3385.0,0.358,,Transit,2019,3.9663,0.16,0.35,4.906,
K2-32 b,K2-32,5.299,15.0,0.0795,5271.0,0.83,837.0,Transit,2016,8.992,0.03,0.86,4.49,
